PARAMCODE_BASE_ID;ANMATCODE_BASE_ID;RESVAL;RESLOD;RESLOQ
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;2,95;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
HT-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;6,4
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Cereals with an added high protein food which have to be reconstituted with water or other protein-free liquid;;;1,6
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
T-2 toxin;Rye flour;;;25
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Oat rolled grains;11,67;;10
HT-2 toxin;Oat rolled grains;13,48;;10
HT-2 toxin;Oat rolled grains;;;10
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Oat rolled grains;18,2;;10
HT-2 toxin;Oat rolled grains;11,73;;10
HT-2 toxin;Oat rolled grains;;;10
HT-2 toxin;Oat rolled grains;15,58;;10
HT-2 toxin;Oat rolled grains;;;10
HT-2 toxin;Oat rolled grains;;;10
HT-2 toxin;Oat rolled grains;13,51;;10
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
HT-2 toxin;Rye flour;;;50
T-2 toxin;Oat rolled grains;;;5,05
T-2 toxin;Oat rolled grains;;;5,05
T-2 toxin;Oat rolled grains;;;5,05
T-2 toxin;Oat rolled grains;7,61;;5,05
T-2 toxin;Oat rolled grains;5,67;;5,05
T-2 toxin;Oat rolled grains;;;5,05
T-2 toxin;Oat rolled grains;;;5,05
T-2 toxin;Oat rolled grains;;;5,05
T-2 toxin;Oat rolled grains;;;5,05
T-2 toxin;Oat rolled grains;8,37;;5,05
T-2 toxin;Oat rolled grains;;;5,05
T-2 toxin;Oat rolled grains;;;5,05
T-2 toxin;Oat rolled grains;;;5,05
T-2 toxin;Oat rolled grains;7,68;;5,05
T-2 toxin;Oat rolled grains;;;5,05
