ACCREDPROC_ID;ACTTAKENCODE_CODE;ANALYSISD;ANALYSISM;ANALYSISY;ANMETHCODE_BASE_ID;ANMETHTEXT;ANMETHREFID;SAMPMATINFO_EXPIRYD;SAMPMATINFO_EXPIRYM;SAMPMATINFO_EXPIRYY;EXPRRESTYPE_ID;EXPRRESPERC_FATPERC;EXPRRESPERC_MOISTPERC;LABACCRED_ID;LABID;LABCOUNTRY_ID;ANPORTSEQ;LOCALORGID;LOCALORGCOUNTRY_ID;SAMPUNITSIZE;SAMPUNITSIZEUNIT_ID;ORIGCOUNTRY_ID;ORIGFISHAREACODE_ID;ORIGFISHAREATEXT;PROCCOUNTRY_ID;PARAMCODE_BASE_ID;PARAMTEXT;PARAMTYPE_ID;SAMPMATINFO_BRANDNAME;SAMPMATINFO_MANUF;SAMPMATINFO_COM;SAMPMATINFO_PRODD;SAMPMATINFO_PRODM;SAMPMATINFO_PRODY;SAMPMATTEXT;PROGID;PROGLEGREF_CODE;SAMPSTRATEGY_ID;PROGTYPE_ID;SAMPMETHOD_ID;SAMPPOINT_ID;RESINFO_COM;EVALCODE_ID;EVALLIMITTYPE_ID;RESQUALVALUE_ID;RESTYPE_ID;RESUNIT_ID;CCALPHA;CCBETA;EVALLOWLIMIT;RESLOD;RESLOQ;RESVAL;RESVALUNCERTSD;RESVALUNCERT;RESVALREC;RESVALRECCORR_ID;SAMPCOUNTRY_ID;SAMPD;SAMPM;SAMPY;ANMATCODE;ANMATCODE_BASE_ID;ANMATCODE_ID_L1;ANMATCODE_ID_L2;ANMATCODE_ID_L3;ANMATCODE_ID_L4;ANMATCODE_ID_L5;ANMATCODE_ID_L6;ANMATCODE_ID_L7;ANMATCODE_ID_L8;ANMATCODE_ID_L9;ANMATCODE_ID_L10;ANMATCODE_ID_LAST;SAMPMATCODE;SAMPMATCODE_BASE_ID;SAMPMATCODE_ID_L1;SAMPMATCODE_ID_L2;SAMPMATCODE_ID_L3;SAMPMATCODE_ID_L4;SAMPMATCODE_ID_L5;SAMPMATCODE_ID_L6;SAMPMATCODE_ID_L7;SAMPMATCODE_ID_L8;SAMPMATCODE_ID_L9;SAMPMATCODE_ID_L10;SAMPMATCODE_ID_LAST;SAMPAREA;PROCAREA;ORIGAREA;RESID;SAMPID
Not Available;N_A;;;2008;LC-MS;N_A;N_A;;;;Whole weight;;;Accredited;N_A;Not Available;N_A;N_A;Not Available;;Not Available;Unknown;Not Available;N_A;Not Available;T-2 toxin;T-2;P001A;N_A;N_A;**;;;;**;N_A;N_A;Not specified;Unspecified;Unknown;Unknown;N_A;Not Available;Not Available;Not Available;Numerical Value;Microgram/kilogram;;;;;;6;;;;Most accurate result value estimate;Norway;;;2008;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Not Available;Not Available;Not Available;0CADA763438F9701CF7F3E33AD54F3D5;86BF44D06FB3110521B8FB839D7DE2D0
Not Available;N_A;;;2008;LC-MS;N_A;N_A;;;;Whole weight;;;Accredited;N_A;Not Available;N_A;N_A;Not Available;;Not Available;Unknown;Not Available;N_A;Not Available;T-2 toxin;T-2;P001A;N_A;N_A;**;;;;**;N_A;N_A;Not specified;Unspecified;Unknown;Unknown;N_A;Not Available;Not Available;Not Available;Numerical Value;Microgram/kilogram;;;;;;6;;;;Most accurate result value estimate;Norway;;;2008;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Not Available;Not Available;Not Available;6E48EECE11535E823110AAF822049184;B0D89C26782EFA778F826A2A7773A329
Not Available;N_A;;;2008;LC-MS;N_A;N_A;;;;Whole weight;;;Accredited;N_A;Not Available;N_A;N_A;Not Available;;Not Available;Unknown;Not Available;N_A;Not Available;T-2 toxin;T-2;P001A;N_A;N_A;**;;;;**;N_A;N_A;Not specified;Unspecified;Unknown;Unknown;N_A;Not Available;Not Available;Not Available;Numerical Value;Microgram/kilogram;;;;;;12;;;;Most accurate result value estimate;Norway;;;2008;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Not Available;Not Available;Not Available;EF89CD90D680DA2DBD500E8B0CE4F297;7264B21B7B56C4C987A0D66FEA64AC4B
Not Available;N_A;;;2008;LC-MS;N_A;N_A;;;;Whole weight;;;Accredited;N_A;Not Available;N_A;N_A;Not Available;;Not Available;Unknown;Not Available;N_A;Not Available;T-2 toxin;T-2;P001A;N_A;N_A;**;;;;**;N_A;N_A;Not specified;Unspecified;Unknown;Unknown;N_A;Not Available;Not Available;Not Available;Numerical Value;Microgram/kilogram;;;;;;8;;;;Most accurate result value estimate;Norway;;;2008;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Not Available;Not Available;Not Available;E7129D7B5325855AB349062C42C43135;C60E21D8E21B21B7B21897881FBE851A
Not Available;N_A;;;2008;LC-MS;N_A;N_A;;;;Whole weight;;;Accredited;N_A;Not Available;N_A;N_A;Not Available;;Not Available;Unknown;Not Available;N_A;Not Available;T-2 toxin;T-2;P001A;N_A;N_A;**;;;;**;N_A;N_A;Not specified;Unspecified;Unknown;Unknown;N_A;Not Available;Not Available;Not Available;Numerical Value;Microgram/kilogram;;;;;;6;;;;Most accurate result value estimate;Norway;;;2008;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Not Available;Not Available;Not Available;15FA41260EF4EAAAF06A8B2D6CEF727B;ECF640BBB6AA139B36C3F59041F420C0
Not Available;N_A;;;2008;LC-MS;N_A;N_A;;;;Whole weight;;;Accredited;N_A;Not Available;N_A;N_A;Not Available;;Not Available;Unknown;Not Available;N_A;Not Available;T-2 toxin;T-2;P001A;N_A;N_A;**;;;;**;N_A;N_A;Not specified;Unspecified;Unknown;Unknown;N_A;Not Available;Not Available;Not Available;Numerical Value;Microgram/kilogram;;;;;;5;;;;Most accurate result value estimate;Norway;;;2008;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Not Available;Not Available;Not Available;10B14820108A44ACA5313891D8660A05;A4A47A0BF964D2606D6DF0F3992124CD
Not Available;N_A;;;2008;LC-MS;N_A;N_A;;;;Whole weight;;;Accredited;N_A;Not Available;N_A;N_A;Not Available;;Not Available;Unknown;Not Available;N_A;Not Available;T-2 toxin;T-2;P001A;N_A;N_A;**;;;;**;N_A;N_A;Not specified;Unspecified;Unknown;Unknown;N_A;Not Available;Not Available;Not Available;Numerical Value;Microgram/kilogram;;;;;;8;;;;Most accurate result value estimate;Norway;;;2008;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Not Available;Not Available;Not Available;39EC9869CBBE6581C82CEAF340C6BC2C;0CE5D56CA64E55883DB46D8581EB3011
Not Available;N_A;;;2008;LC-MS;N_A;N_A;;;;Whole weight;;;Accredited;N_A;Not Available;N_A;N_A;Not Available;;Not Available;Unknown;Not Available;N_A;Not Available;T-2 toxin;T-2;P001A;N_A;N_A;**;;;;**;N_A;N_A;Not specified;Unspecified;Unknown;Unknown;N_A;Not Available;Not Available;Not Available;Numerical Value;Microgram/kilogram;;;;;;11;;;;Most accurate result value estimate;Norway;;;2008;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Not Available;Not Available;Not Available;63878A672F8403C6D0C28CD9EB4944FE;47DD146EDC8CEC30661E5AE2732CA7AD
Not Available;N_A;;;2008;LC-MS;N_A;N_A;;;;Whole weight;;;Accredited;N_A;Not Available;N_A;N_A;Not Available;;Not Available;Unknown;Not Available;N_A;Not Available;T-2 toxin;T-2;P001A;N_A;N_A;**;;;;**;N_A;N_A;Not specified;Unspecified;Unknown;Unknown;N_A;Not Available;Not Available;Not Available;Numerical Value;Microgram/kilogram;;;;;;7;;;;Most accurate result value estimate;Norway;;;2008;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Not Available;Not Available;Not Available;1A301BB45982C3BF8B96EA18AE32A279;CB4E615A4223065BFA2C888D3939000B
Not Available;N_A;;;2008;LC-MS;N_A;N_A;;;;Whole weight;;;Accredited;N_A;Not Available;N_A;N_A;Not Available;;Not Available;Unknown;Not Available;N_A;Not Available;T-2 toxin;T-2;P001A;N_A;N_A;**;;;;**;N_A;N_A;Not specified;Unspecified;Unknown;Unknown;N_A;Not Available;Not Available;Not Available;Numerical Value;Microgram/kilogram;;;;;;12;;;;Most accurate result value estimate;Norway;;;2008;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;A00DN#F02.A068E$F27.A000G$F28.A07LG$F28.A0C03;Processed oat-based flakes;Food;Grains and grain-based products;Cereal grains and similar and primary derivatives thereof;Cereal primary derivatives;Cereal flakes and similar;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Processed oat-based flakes;Not Available;Not Available;Not Available;8073C1D3377E6D8F3D9B2C1E59F03E0E;EF5C30CA8EAA3DDF1F93BC48D05C205B
