type;raw;processed;sample size;method;mu;se;mu_se;se_se;mu_orig;sig_orig;poscase_dat;poscase_est;meanlevel_dat;meanlevel_est;meanlevelpos_dat;meanlevelpos_est;medlevel_dat;medlevel_est;ref
T-2;Wheat;NA;181;16;1.79;0.2;0.59976642;32.47350045;6.12;1.24;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
HT-2;Wheat;NA;181;16;1.79;0.2;0.59976642;32.47350045;6.12;1.24;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
T-2;Barley;NA;107;16;1.79;0.21;0.29486572;22.52991334;6.13;1.3;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
HT-2;Barley;NA;107;16;1.79;0.21;0.29486572;22.52991334;6.13;1.3;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
T-2;Triticale;NA;81;16;1.79;0.22;0.48589858;18.60457072;6.14;1.34;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
HT-2;Triticale;NA;81;16;1.79;0.22;0.48589858;18.60457072;6.14;1.34;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
T-2;Rye;NA;31;16;1.79;0.24;0.34519717;9.82155804;6.17;1.48;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
HT-2;Rye;NA;31;16;1.79;0.24;0.34519717;9.82155804;6.17;1.48;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
T-2;Oats;NA;15;16;1.79;0.26;0.18561762;6.22619547;6.2;1.62;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
HT-2;Oats;NA;15;16;1.79;0.26;0.18561762;6.22619547;6.2;1.62;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
T-2;Spelt;NA;18;16;1.79;0.25;0.48589858;6.96411822;6.19;1.58;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
HT-2;Spelt;NA;18;16;1.79;0.25;0.48589858;6.96411822;6.19;1.58;0;0;NA;0;NA;0;NA;0;Babic et al., 2021
T-2;Wheat;NA;48;16;-1.61;0.23;0.59976642;13.09964986;0.21;0.05;0;0;NA;0;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Wheat;NA;48;16;-1.39;0.23;0.59976642;13.09964986;0.26;0.06;0;0;NA;0;NA;0;NA;0;Bertuzzi et al., 2014
T-2;Wheat;NA;47;1;-0.16;1.31;0.19846481;0.14390981;2.01;4.28;0.7;0.72;2.3;1.95;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Wheat;NA;47;1;0.74;1.31;0.20251739;0.13130602;4.97;10.63;0.85;0.86;5.7;4.89;NA;0;NA;0;Bertuzzi et al., 2014
T-2;Wheat;NA;52;16;-1.61;0.22;0.59976642;13.79901624;0.21;0.05;0;0;NA;0;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Wheat;NA;52;7;-2.44;1.54;2.28143789;1.09805758;0.28;0.88;0.02;0.13;NA;0.4;NA;0;NA;0;Bertuzzi et al., 2014
T-2;Durum wheat;NA;51;1;-2.08;1.6;0.45104163;0.27005137;0.45;1.57;0.22;0.23;0.6;0.5;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Durum wheat;NA;51;1;-1.68;2.03;0.44726913;0.22553254;1.46;11.34;0.29;0.31;2.6;1.51;NA;0;NA;0;Bertuzzi et al., 2014
T-2;Durum wheat;NA;48;1;1.72;0.71;0.19244063;0.18475253;7.2;5.83;1;1;7.1;7.19;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Durum wheat;NA;48;1;2.76;0.56;0.13619133;0.14846128;18.56;11.36;1;1;18.4;18.55;NA;0;NA;0;Bertuzzi et al., 2014
T-2;Durum wheat;NA;47;16;-1.61;0.23;0.42826487;12.91661205;0.21;0.05;0;0;NA;0;NA;0;NA;0;Bertuzzi et al., 2014
HT-2;Durum wheat;NA;47;1;-3.33;1.93;0.91438163;0.37422286;0.23;1.44;0.06;0.09;0.5;0.38;NA;0;NA;0;Bertuzzi et al., 2014
