"","1","2","3","4","5","6","7"
"BW",NA,NA,NA,NA,53,60,NA
"H",NA,NA,NA,NA,161,163,NA
"BMI",NA,NA,NA,NA,20.4,22.6,NA
"Qc",NA,NA,NA,NA,366,354,NA
"Vlun",NA,NA,NA,NA,0.29,0.42,0.262
"Vhrt",NA,NA,NA,NA,0.22,0.25,0.246
"Vskn",NA,NA,NA,NA,1.7,2.3,0.049
"Vadp",NA,NA,NA,NA,17.505,21.05,0.501
"Vmus",NA,NA,NA,NA,17.053,17.56,0.095
"Vbon",NA,NA,NA,NA,3.7,4,0.005
"Vbrn",NA,NA,NA,NA,1.3,1.3,0.084
"Vthy",NA,NA,NA,NA,0.03,0.02,0.084
"Vgon",NA,NA,NA,NA,0.037,0.093,0.084
"Vkid",NA,NA,NA,NA,0.24,0.275,0.246
"Vsto",NA,NA,NA,NA,0.12,0.14,0.129
"Vint",NA,NA,NA,NA,0.82,0.96,0.149
"Vspl",NA,NA,NA,NA,0.13,0.13,0.405
"Vpan",NA,NA,NA,NA,0.1,0.12,0.284
"Vliv",NA,NA,NA,NA,1.3,1.4,0.246
"Vrem",NA,NA,NA,NA,1.162,1.087,0.182
"Vb",NA,NA,NA,NA,3.5,4.1,0.049
"Qhrt",NA,NA,NA,NA,70.8,70.8,0.01
"Qskn",NA,NA,NA,NA,7.7,7.7,0.01
"Qadp",NA,NA,NA,NA,1.43,1.43,0.01
"Qmus",NA,NA,NA,NA,2.43,2.43,0.01
"Qbon",NA,NA,NA,NA,1.77,1.77,0.01
"Qbrn",NA,NA,NA,NA,32.68,32.68,0.01
"Qthy",NA,NA,NA,NA,32.68,32.68,0.01
"Qgon",NA,NA,NA,NA,0.76,0.76,0.01
"Qkid",NA,NA,NA,NA,218.84,218.84,0.01
"Qsto",NA,NA,NA,NA,25.29,25.29,0.01
"Qint",NA,NA,NA,NA,63.64,63.64,0.01
"Qspl",NA,NA,NA,NA,81.69,81.69,0.01
"Qpan",NA,NA,NA,NA,29.5,29.5,0.01
"Qliv",NA,NA,NA,NA,16.44,16.44,0.01
"Qrem",NA,NA,NA,NA,15.68,15.68,0.01
"Vtid",NA,NA,NA,NA,0.42,0.46,0.095
"Vfrc",NA,NA,NA,NA,2.3,2.7,0.095
"fp",NA,NA,NA,NA,960,840,NA
