"","1","2","3","4","5","6","7"
"BW",3.5,10,19,32,56,73,NA
"H",51,76,109,138,167,176,NA
"BMI",13.5,17.3,16,16.8,20.1,23.6,NA
"Qc",36,72,204,300,366,390,NA
"Vlun",0.03,0.08,0.125,0.21,0.33,0.5,0.262
"Vhrt",0.02,0.05,0.085,0.14,0.23,0.33,0.188
"Vskn",0.175,0.35,0.57,0.82,2,3.3,0.049
"Vadp",0.89,3.62,5.16,8.13,10.988,16.993,0.501
"Vmus",0.804,1.91,5.619,11.032,24.056,29.073,0.095
"Vbon",0.17,0.59,1.26,2.3,4.05,5.5,0.01
"Vbrn",0.38,0.95,1.245,1.31,1.42,1.45,0.084
"Vthy",0.013,0.03,0.03,0.038,0.035,0.025,0.084
"Vgon",0.003,0.003,0.004,0.006,0.022,0.056,0.084
"Vkid",0.025,0.07,0.11,0.18,0.25,0.31,0.246
"Vsto",0.007,0.02,0.05,0.085,0.12,0.15,0.294
"Vint",0.047,0.135,0.34,0.58,0.82,1.02,0.149
"Vspl",0.01,0.029,0.05,0.08,0.13,0.15,0.405
"Vpan",0.006,0.02,0.035,0.06,0.11,0.14,0.265
"Vliv",0.13,0.33,0.57,0.83,1.3,1.8,0.237
"Vrem",0.07,0.196,0.413,0.74,1.251,1.393,0.182
"Vb",0.29,0.53,1.5,2.5,4.8,5.6,0.049
"Qhrt",47.27,47.27,47.27,47.27,47.27,47.27,0.01
"Qskn",5.91,5.91,5.91,5.91,5.91,5.91,0.01
"Qadp",1.15,1.15,1.15,1.15,1.15,1.15,0.01
"Qmus",2.29,2.29,2.29,2.29,2.29,2.29,0.01
"Qbon",1.42,1.42,1.42,1.42,1.42,1.42,0.01
"Qbrn",32.28,32.28,32.28,32.28,32.28,32.28,0.01
"Qthy",32.28,32.28,32.28,32.28,32.28,32.28,0.01
"Qgon",3.48,3.48,3.48,3.48,3.48,3.48,0.01
"Qkid",239.03,239.03,239.03,239.03,239.03,239.03,0.01
"Qsto",26,26,26,26,26,26,0.01
"Qint",57.47,57.47,57.47,57.47,57.47,57.47,0.01
"Qspl",78,78,78,78,78,78,0.01
"Qpan",27.86,27.86,27.86,27.86,27.86,27.86,0.01
"Qliv",14.08,14.08,14.08,14.08,14.08,14.08,0.01
"Qrem",15.68,15.68,15.68,15.68,15.68,15.68,0.01
"Vtid",0.054,0.1,0.21,0.33,0.53,0.75,0.095
"Vfrc",0.09,0.24,0.8,1.5,2.7,3.3,0.095
"fp",NA,2160,1500,1140,900,720,NA
